name,Energy,Carbohydrate,Fat,Saturated Fatty acid,Trans fatty acid,Protein,Total Dietary Fiber,Calcium,Iron,Sodium,Phosphorus,Vitamin A,Total Ascorbic Acid,Vitamin D (Ergocalciferol + Cholecalciferol),group,rice_group,soup_group,main_group,sub_group,kimch_group,snack_group,dairy_group
(잔)멸치조림,33.875,0.3637,1.85825,0.32345,0,0.278476,0.016,50.315,0.11415,307.42,68.675,0.004583333,0,1.3776,5,0,0,0,1,0,0,0
empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,1
가래떡구이,63.9,14.64,0.111,0.048,0,0.3339,0.21,3,0.042,78.3,10.8,0,0,0,5,0,0,0,1,0,0,0
가래떡김치전,75.7,11.6232,2.4692,0.4549,0,0.22305,0.465,16.9,0.272,95,27.4,33.3125,1.789,1.045,5,0,0,0,1,0,0,0
가자미구이,69.9,0.1332,3.4662,0.2924,0,3.536,0,16,0.28,92,78.4,3.2,0.8,0,4,0,0,1,0,0,0,0
가자미미역국,55.06,1.3873,3.0617,0.3167,0,1.399529,1.068,44.13,0.393,283.87,61.63,17.48083333,0.5,0,3,0,1,0,0,0,0,0
가자미양념찜,64.17,3.2216,2.2967,0.1834,0,2.045458,1.021,22.05,0.5058,309.92,83.49,16.22083333,2.6358,0,4,0,0,1,0,0,0,0
가자미유자청구이,82.05,3.1432,3.4662,0.2924,0,3.53725,0,16.85,0.305,92.75,78.65,3.220833333,3.8,0,4,0,0,1,0,0,0,0
가자미조림,57.79,2.0092,2.1287,0.1538,0,2.040142,0.267,20.47,0.408,309.66,76.65,3.949166667,2.6358,0,4,0,0,1,0,0,0,0
가자미찹쌀구이,77.44,1.7712,3.4742,0.2924,0,3.53896,0,16.08,0.324,92.06,81.42,3.2,0.8,0,4,0,0,1,0,0,0,0
가지깐풍,80.5,8.1279,4.8074,0.8103,0,0.139861,1.208,9.57,0.2278,99.94,29.85,15.46166667,0.3632,1.045,5,0,0,0,1,0,0,0
가지나물,18.09,1.9006,1.0078,0.1574,0,0.142258,0.972,7.25,0.1676,95.82,16.57,2.258333333,0.1369,0,5,0,0,0,1,0,0,0
가지두부죽,140.85,25.629,1.5135,0.2145,0,1.467225,1.275,23.7,0.891,2.7,78.75,0.75,0,0,0,0,0,0,0,0,0,0
가지채소볶음밥,204.7,39.0368,3.1308,0.4571,0,3.469125,1.765,14.5,0.599,6.05,50.1,51.58333333,2.1,0,2,1,0,0,0,0,0,0
간장닭갈비,90.84,4.1793,5.1943,0.3015,0,1.781825,0.905,13.21,0.5055,261.62,71.83,38.12666667,3.746,0,4,0,0,1,0,0,0,0
간장돼지불고기,135.17,2.5334,11.7249,4.477,0,1.24875,0.605,8.13,0.283,258.56,59.39,51.70083333,1.316,0.201,4,0,0,1,0,0,0,0
간장두부조림,69.57,2.0532,4.8355,0.7193,0,1.547608,1.195,27.5,0.7089,144.05,68.97,0.741666667,0.1369,0,4,0,0,1,0,0,0,0
간장떡볶이,165.74,17.8097,8.3851,2.6639,0,1.061615,1.302,11.28,0.7567,282.73,70.24,29.37166667,1.465,0,4,0,0,1,0,0,0,0
간장마파두부,118.86,6.264,8.0321,1.8902,0,1.103388,1.59,26.83,1.0042,247.03,90.94,5.439166667,2.9975,0,4,0,0,1,0,0,0,0
갈비탕,96.47,5.2053,4.065,1.3679,0,1.747897,0.133,12.83,1.358,131.41,84.65,15.76166667,0.287,2.09,3,0,1,0,0,0,0,0
갈은북엇국,53.66,1.436,2.3322,0.161,0,0.652412,0.322,32.38,0.45,51.34,72.32,0.643333333,2.127,0,3,0,1,0,0,0,0,0
갈치구이,69.75,0.0482,4.6112,0.2924,0,2.26625,0,16.1,0.35,35,66.85,7,0.35,0,4,0,0,1,0,0,0,0
갈치조림,71.51,1.8664,4.2593,0.2985,0,1.703315,0.292,20.61,0.4472,222.84,73.33,6.085,1.989,0,4,0,0,1,0,0,0,0
감자그라탕,145.78,14.5638,7.0547,4.5065,0,1.443781,1.485,144.93,0.3609,154.45,183.52,49.6675,5.59,0,5,0,0,0,1,0,0,0
감자다시마국,41.2,8.056,0.152,0.052,0,0.537936,1.382,57.04,0.7916,51.6,53.92,6.911666667,6.726,0.0256,3,0,1,0,0,0,0,0
감자된장국,43.7,7.726,0.324,0.0525,0,0.386861,1.417,52.14,0.8766,293.7,60.57,2.72,4.88,0.0256,3,0,1,0,0,0,0,0
감자된장죽,142.17,28.824,0.4065,0.0624,0,0.820269,0.81,69.87,1.1418,217.83,92.04,0.1,3.153,0.0384,0,0,0,0,0,0,0,0
감자밥,173.95,38.381,0.168,0.021,0,1.7689,1.89,8.75,0.861,3.5,53.55,0.116666667,7.357,0,1,1,0,0,0,0,0,0
감자버터구이,56.33,7.5943,2.4812,1.4565,0,0.503031,1.35,4.98,0.2909,0.8,17.07,15.7175,5.255,0,5,0,0,0,1,0,0,0
감자부추국,30.3,4.606,0.337,0.0435,0,0.152961,0.657,51.64,1.0776,293.8,52.47,1.195,2.967,0.0256,3,0,1,0,0,0,0,0
감자부추전,88.8,15.3677,2.1162,0.3279,0,1.0538,2.18,12.55,0.9665,2.35,32.95,24.07083333,8.2665,0,5,0,0,0,1,0,0,0
감자샐러드,80.95,10.53,3.8225,0.5985,0,0.763775,2.035,11.5,0.4335,26.45,32.85,47.45833333,8.2955,0,5,0,0,0,1,0,0,0
감자수제비,167.91,29.4415,0.95,0.1829,0,1.505837,2.147,145.68,3.1794,360.5,158.75,27.96166667,4.035,0.064,2,1,0,0,0,0,0,0
감자양파국,46.76,3.78,0.56,0.1864,0,0.683712,0.742,212.58,1.3784,218.5,182.5,0.478333333,2.761,0.128,3,0,1,0,0,0,0,0
감자조림,65.08,10.3457,2.0401,0.3148,0,0.562157,2.124,13.65,0.5152,196.04,35.49,70.45833333,6.8638,0,5,0,0,0,1,0,0,0
감자찹쌀죽,131.1,28.734,0.132,0.009,0,0.4914,0.81,4.35,0.699,1.95,45.6,0.05,3.153,0,0,0,0,0,0,0,0,0
감자채국,28.1,4.196,0.307,0.0435,0,0.134961,0.657,48.84,0.7376,293.5,50.17,0.47,2.467,0.0256,3,0,1,0,0,0,0,0
감자채맑은국,26.4,4.273,0.122,0.0435,0,0.130086,0.697,46.04,0.4691,283.1,50.32,0.47,2.467,0.0256,3,0,1,0,0,0,0,0
감자채볶음,47.35,6.6447,2.0127,0.3059,0,0.27015,1.355,6.6,0.247,1.95,17.7,23.00833333,4.7115,0,5,0,0,0,1,0,0,0
감자채소볶음,59.55,9.5077,2.0377,0.3149,0,0.41855,2.425,13,0.414,4.65,29.9,72.28333333,10.137,0,5,0,0,0,1,0,0,0
감자채소조림,65.08,10.3457,2.0401,0.3148,0,0.562157,2.124,13.65,0.5152,196.04,35.49,70.45833333,6.8638,0,5,0,0,0,1,0,0,0
감자채피망볶음,49.3,7.1147,2.0167,0.3084,0,0.278525,1.675,7.95,0.312,1.95,20.1,25.475,7.6455,0,5,0,0,0,1,0,0,0
