name,weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
S(우유제외)수박화채,160,과일(간식),55,0.79,0.05,13.818,0.2,7.2,0.186,0.6,71.08333333,0.024,0.03,0,14.25,2.93
S감말랭이,30,과일(간식),76.5,0.582,0.048,20.583,3.36,6.3,0.192,0.9,13.725,0.003,0.0672,1.533,0,8.601
S거봉(100g),100,과일(간식),61,0.43,0.04,16.38,0.4,4,0.17,1,2.166666667,0.026,0.047,0.13,11.89,6.09
S곶감,40,과일(간식),85.6,0.772,0.032,22.98,3.4,5.6,0.248,0.4,9.533333332,0.0036,0.0972,1.068,0,5.044
S과일화채,180,과일(간식),101.05,3.67,3.3645,14.89,0.79,117.65,0.1985,36,91.16666666,0.04035,0.1911,1.8925,86.6605,10.6925
S귤(50g),50,과일(간식),19.5,0.35,0.05,4.95,0,6.5,0,5.5,0.208333334,0.065,0.02,22,0,0
S귤(80g),80,과일(간식),31.2,0.56,0.08,7.92,0,10.4,0,8.8,0.333333334,0.104,0.032,35.2,0,0
S단감(50g),50,과일(간식),25.5,0.205,0.02,6.83,3.2,3,0.075,0,3.375,0.0285,0.0255,6.975,0,5.105
S당근스틱,30,과일(간식),9.3,0.306,0.039,2.109,0.93,7.2,0.084,6.9,137.9,0.0111,0.0186,0.906,24.906,2.37
S딸기(100g),100,과일(간식),36,0.8,0.2,8.9,0,7,0.4,13,0,0.03,0.02,71,0,0
S멜론(100g),100,과일(간식),40,1.5,0.04,9.64,2,7,0.34,13,2.416666667,0.032,0.033,2.02,5.27,10.67
S멜론(50g),50,과일(간식),20,0.75,0.02,4.82,1,3.5,0.17,6.5,1.208333334,0.016,0.0165,1.01,2.635,5.335
S멜론(75g),75,과일(간식),30,1.125,0.03,7.23,1.5,5.25,0.255,9.75,1.8125,0.024,0.02475,1.515,3.9525,8.0025
S멜론퓨레,80,과일(간식),32,1.2,0.032,7.712,1.6,5.6,0.272,10.4,1.933333334,0.0256,0.0264,1.616,4.216,8.536
S바나나(100g),100,과일(간식),84,1.1,0.1,21.94,1.9,7,0.29,0,2.083333333,0.049,0.075,5.94,24.75,9.76
S바나나(50g),50,과일(간식),42,0.55,0.05,10.97,0.95,3.5,0.145,0,1.041666667,0.0245,0.0375,2.97,12.375,4.88
S방울토마토(35g),35,과일(간식),8.75,0.35,0.0455,2.107,0.735,3.5,0.1295,1.75,20.825,0.0077,0.03045,3.9795,21.644,2.4535
S방울토마토(70g),70,과일(간식),17.5,0.7,0.091,4.214,1.47,7,0.259,3.5,41.65,0.0154,0.0609,7.959,43.288,4.907
S배(100g),100,과일(간식),46,0.3,0.04,12.35,1.4,1,0.05,0,0,0.016,0.049,2.76,18.27,1.16
S배(50g),50,과일(간식),23,0.15,0.02,6.175,0.7,0.5,0.025,0,0,0.008,0.0245,1.38,9.135,0.58
S복숭아(60g),60,과일(간식),19.2,0.558,0.03,4.71,2.28,3.6,0.114,0,4.7,0.0168,0.0108,1.014,10.632,3.378
S복숭아(80g),80,과일(간식),25.6,0.744,0.04,6.28,3.04,4.8,0.152,0,6.266666666,0.0224,0.0144,1.352,14.176,4.504
S복숭아(백도)-60g,60,과일(간식),29.4,0.354,0.024,7.86,1.56,2.4,0.066,0,0.15,0.0132,0.0138,1.26,6.39,5.208
S복숭아(백도)-80g,80,과일(간식),39.2,0.472,0.032,10.48,2.08,3.2,0.088,0,0.2,0.0176,0.0184,1.68,8.52,6.944
S복숭아(천도)-60g,60,과일(간식),19.2,0.558,0.03,4.71,2.28,3.6,0.114,0,4.7,0.0168,0.0108,1.014,10.632,3.378
S복숭아(천도)-80g,80,과일(간식),25.6,0.744,0.04,6.28,3.04,4.8,0.152,0,6.266666666,0.0224,0.0144,1.352,14.176,4.504
S복숭아(황도)-60g,60,과일(간식),29.4,0.24,0.024,7.818,2.58,3,0.054,1.2,5.25,0.0108,0.0132,1.002,6.45,3.756
S복숭아(황도)-80g,80,과일(간식),39.2,0.32,0.032,10.424,3.44,4,0.072,1.6,7,0.0144,0.0176,1.336,8.6,5.008
S블루베리(50g),50,과일(간식),24,0.275,0.045,6.285,1.5,4.5,0.115,0,1.083333334,0.0085,0.0655,0,16.125,8.25
S사과(100g),100,과일(간식),53,0.2,0.03,14.36,2.7,4,0.1,0,2.083333333,0,0.019,1.41,14.92,1.09
S사과(35g),35,과일(간식),18.55,0.07,0.0105,5.026,0.945,1.4,0.035,0,0.729166667,0,0.00665,0.4935,5.222,0.3815
S사과(50g),50,과일(간식),26.5,0.1,0.015,7.18,1.35,2,0.05,0,1.041666667,0,0.0095,0.705,7.46,0.545
S사과(75g),75,과일(간식),39.75,0.15,0.0225,10.77,2.025,3,0.075,0,1.5625,0,0.01425,1.0575,11.19,0.8175
S수박(100g),100,과일(간식),31,0.79,0.05,7.83,0.2,6,0.18,0,71.08333333,0.024,0.03,0,13.86,2.93
S수박화채,200,과일(간식),96,3.87,3.37,13.36,0.2,119,0.23,36,126.0833333,0.045,0.192,0.79,87.64,10.53
S오렌지(100g),100,과일(간식),44,0.9,0.1,11.2,0,33,0.2,1,7.5,0.11,0.02,43,0,0
S오렌지(50g),50,과일(간식),22,0.45,0.05,5.6,0,16.5,0.1,0.5,3.75,0.055,0.01,21.5,0,0
S자두(50g),50,과일(간식),13,0.25,0.3,2.65,0,1.5,0.1,0.5,0,0.02,0.015,2.5,0,0
S참외(100g),100,과일(간식),47,1.57,0.29,11.01,1.7,6,0.26,2,0.5,0.006,0.08,1.99,167.43,9.08
S참외(50g),50,과일(간식),23.5,0.785,0.145,5.505,0.85,3,0.13,1,0.25,0.003,0.04,0.995,83.715,4.54
S청포도(100g),100,과일(간식),48,0.3,0.2,12.6,0,5,0.3,2,0.916666667,0.06,0.01,2,0,0
S키위(100g),100,과일(간식),64,0.8,1,14.8,0,30,1,2,2.083333333,0.13,0.03,72,0,0
S키위(50g),50,과일(간식),32,0.4,0.5,7.4,0,15,0.5,1,1.041666667,0.065,0.015,36,0,0
S토마토(100g),100,과일(간식),19,1.03,0.18,4.26,2.6,9,0.19,2,31.66666667,0.013,0.037,14.16,91.46,6.61
S토마토(200g),200,과일(간식),38,2.06,0.36,8.52,5.2,18,0.38,4,63.33333334,0.026,0.074,28.32,182.92,13.22
S파인애플(50g),50,과일(간식),26.5,0.23,0.02,7.16,1.25,8,0.045,0,2.583333334,0.026,0.0435,22.715,3.69,3.715
S포도(100g),100,과일(간식),60,0.66,0.04,15.1,1.1,3,0.11,2,3.25,0.063,0.051,0.12,10.83,5.34
S감자건포도샐러드,80,샐러드(간식),97.3,1.5895,3.837,14.822,2.115,10.9,0.5055,25.15,0.745833333,0.04695,0.0768,7.3685,1970.7845,292.81
S감자샐러드,76.5,샐러드(간식),91.165,1.8091,4.5599,11.17885,2.1075,12.82,0.5049,23.89,0.750416667,0.043585,0.04449,7.357,2161.35705,292.49285
S감자채요거트샐러드,78,샐러드(간식),64.15,2.0114,0.5497,13.4293,1.975,27.33,0.4239,7.93,7.686666667,0.04253,0.09055,6.4891,18.7025,3.4441
S고구마경단,61,샐러드(간식),110.66,1.1166,1.0742,24.2036,1.726,11.15,0.3002,10.58,14.16,0.03546,0.03352,3.572,85.602,7.0994
S고구마샐러드(마요네즈),56,샐러드(간식),115.49,0.5575,3.8375,19.7135,1.35,8.51,0.2625,26.66,2.0625,0.03365,0.016,3.56,1982.545,293.587
S과일샐러드,55,샐러드(간식),59.1,0.3355,3.816,6.5105,0.545,9.95,0.0975,23.35,2.916666666,0.03025,0.01515,11.2375,1965.42,291.1215
S과일샐러드(마요네즈),55,샐러드(간식),59.8,0.3255,3.815,6.7115,0.675,10.25,0.1025,23.35,3.125,0.02865,0.01215,11.1025,1965.085,291.1145
S과일샐러드(요거트드레싱),60,샐러드(간식),36,1.684,1.168,5,0.84,46.4,0.049,13.9,18.86666667,0.0173,0.0493,4.978,26.384,4.049
S단호박샐러드,61,샐러드(간식),37.94,0.905,0.657,8.165,2.5,17.31,0.195,3.66,158.4166667,0.0171,0.0843,6.144,96.478,41.25
S단호박샐러드(마요네즈),56,샐러드(간식),66.99,0.6475,4.1075,7.9335,2.5,7.01,0.2175,23.16,153.6458333,0.01615,0.0705,6.065,2050.455,331.332
S마카로니채소샐러드,40.2,샐러드(간식),133.147,3.2238,3.8941,20.1668,0.19,3.921,0.3962,58.543,23.97766667,0.03571,0.01992,0.7135,1965.9155,291.5775
S바나나사과키위샐러드,120,샐러드(간식),83.55,1.338,0.6945,20.032,1.995,26.5,0.433,5.1,8.191666666,0.0591,0.06615,21.5955,25.397,6.5385
S블루베리고구마샐러드,91,샐러드(간식),103.39,1.3595,0.8985,22.66,1.8,37.11,0.282,12.56,15.40833333,0.0403,0.07375,3.7575,44.4725,7.12
S사과샐러드(마요네즈),55,샐러드(간식),62.05,0.1505,3.7975,7.5015,1.35,3,0.0775,23.1,1.770833333,0.00115,0.0119,0.705,1968.815,291.387
S연두부샐러드(오리엔탈드레싱),43.1,샐러드(간식),31.537,1.98022,1.46836,2.56929,0.0367,17.274,0.55794,100.288,3.763833333,0.059771,0.051132,0.20972,76.24348,2.128
S오이당근스틱,30,샐러드(간식),6.75,0.336,0.0225,1.512,0.57,6.3,0.072,3.9,69.7125,0.00585,0.0144,2.1405,13.6815,2.2065
