아침밥/일품,아침국,아침반찬1,아침반찬2,아침김치,오전간식1,오전간식2,점심밥/일품,점심국,점심반찬1,점심반찬2,점심김치,오후간식1,오후간식2,저녁밥/일품,저녁국,저녁반찬1,저녁반찬2,저녁김치,총점
쇠고기가지덮밥,느타리버섯국,주꾸미채소간장볶음,애호박생선살찜,총각 김치,S수제바나나우유,S단호박크림리조또,팥밥(30),두부전골,팽이버섯나물,소고기버섯불고기,비트초절이,S쌀음료,S연두부샐러드(오리엔탈드레싱),찹쌀밥(추가),만두국,우엉채곤약조림,도라지무침,깍두기,1
찹쌀밥(추가),만두국,소고기버섯불고기,도라지무침,총각 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,쇠고기가지덮밥,느타리버섯국,애호박생선살찜,우엉채곤약조림,비트초절이,S단호박크림리조또,S쌀음료,팥밥(30),두부전골,주꾸미채소간장볶음,팽이버섯나물,깍두기,4
찹쌀보리밥(40),감잣국,소고기버섯불고기,도라지무침,총각 김치,S아몬드,S수제바나나우유,쇠고기가지덮밥,무채양팟국,양파링튀김,달걀샐러드,비트초절이,S단호박크림리조또,S망고주스,팥밥,두부전골,주꾸미채소간장볶음,깻잎순나물볶음,깍두기,5
찹쌀밥,만두국,소고기버섯불고기,도라지무침,총각 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,쇠고기가지덮밥,느타리버섯국,연근강정,파인콘샐러드,비트초절이,S복숭아,S쌀음료,팥밥,두부전골,주꾸미채소간장볶음,팽이버섯나물,깍두기,5
밤찹쌀팥밥,감자탕,순살닭볶음탕,메추리알고구마조림,오이소박이김치,S건포도감자볼,S오렌지주스,백미밥(추가),바지락된장국,참나물볶음,코다리엿장조림,나박 김치,S배추버섯죽,S우유(200ml),수수밥(30),팥죽,장산적조림,갈치카레튀김,파 김치,1
백미밥(추가),팥죽,장산적조림,메추리알고구마조림,나박 김치,S건포도감자볼,S우유(200ml),밤찹쌀팥밥,바지락된장국,순살닭볶음탕,갈치카레튀김,오이소박이김치,S배추버섯죽,S오렌지주스,수수밥(30),감자탕,코다리엿장조림,참나물볶음,파 김치,3
백미밥(추가),팥죽,고등어구이,메추리알고구마조림,나박 김치,S치즈,S우유(200ml),밤찹쌀팥밥,바지락된장국,순살닭볶음탕,돌나물부추무침,단배추물김치,S새우채소전,S오렌지주스,수수밥,감자탕,코다리엿장조림,김자반,백김치,5
백미밥(추가),팥죽,연두부+흑임자소스,메추리알고구마조림,나박 김치,S건포도감자볼,S우유(200ml),밤찹쌀팥밥,바지락된장국,순살닭볶음탕,미나리숙주나물,오이소박이김치,S소보로빵,S오렌지주스,수수밥,감자탕,코다리엿장조림,참나물볶음,백김치,5
해물볶음밥,순두부국,쇠고기찹쌀구이,건새우볶음,비트초절이,S참깨채소죽,S멜론,율무밥,모시조개탕,양상추유자청무침,방풍나물,열무 물김치,S단호박식혜,S우유미숫가루,현미밥(40),북엇국,게맛살파프리카볶음,메추리알곤약조림,얼갈이배추 김치,1
현미밥(40),북엇국,게맛살파프리카볶음,방풍나물,열무 물김치,S참깨채소죽,S단호박식혜,해물볶음밥,순두부국,메추리알곤약조림,양상추유자청무침,비트초절이,S멜론,S우유미숫가루,율무밥,모시조개탕,쇠고기찹쌀구이,건새우볶음,얼갈이배추 김치,3
현미밥(40),북엇국,게맛살파프리카볶음,방풍나물,열무 물김치,S귤,S단호박식혜,해물볶음밥,두부곤약탕국,메추리알곤약조림,양상추유자청무침,비트초절이,S멜론,S우유미숫가루,율무밥,모시조개탕,쇠고기찹쌀구이,건새우볶음,얼갈이배추 김치,5
현미밥,북엇국,게맛살파프리카볶음,양배추된장나물,열무 물김치,S밤식빵,S단호박식혜,해물볶음밥,실파장국,메추리알곤약조림,양상추유자청무침,비트초절이,S멜론,S우유미숫가루,율무밥,모시조개탕,쇠고기찹쌀구이,건새우볶음,얼갈이배추 김치,5
현미찹쌀밥,어탕국수,매콤주꾸미볶음,가지나물무침,총각 김치,S쌀음료,S수제바나나우유,소고기김주먹밥,우거지맑은국,애호박생선살찜,더덕사과무침,나박 김치,S당근스프,S연두부샐러드(오리엔탈드레싱),율무밥(30),만두닭개장,팽이버섯나물,김치녹두전,깍두기,1
소고기김주먹밥,우거지맑은국,팽이버섯나물,가지나물무침,총각 김치,S당근스프,S쌀음료,현미찹쌀밥,어탕국수,매콤주꾸미볶음,더덕사과무침,나박 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,율무밥(30),만두닭개장,애호박생선살찜,김치녹두전,깍두기,4
소고기김주먹밥,맑은가쓰오부시장국,시금치스크램블에그,empty,총각 김치,S오렌지,S검은깨두유(100ml),현미찹쌀밥,뭇국,매콤주꾸미볶음,더덕사과무침,나박 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,율무밥,만두닭개장,애호박생선살찜,가지나물무침,깍두기,5
소고기김주먹밥,맑은가쓰오부시장국,시금치스크램블에그,마카로니오이샐러드,총각 김치,S오렌지,S검은깨두유(100ml),현미찹쌀밥,두부감잣국,매콤주꾸미볶음,더덕사과무침,나박 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,율무밥,만두닭개장,애호박생선살찜,김치녹두전,깍두기,5
백미밥(추가),애호박맑은국,견과류고구마범벅,고구마순된장무침,오이소박이김치,S토마토주스,S건포도감자볼,밤콩밥(30),느타리버섯국,도라지무침,닭가슴살데리야끼조림,오이 피클,S수제블루베리우유,empty,소고기굴소스볶음밥,만두국,우엉채곤약조림,empty,비트초절이,1
백미밥(추가),느타리버섯국,empty,고구마순된장무침,오이소박이김치,empty,S토마토주스,소고기굴소스볶음밥,애호박맑은국,견과류고구마범벅,우엉채곤약조림,오이 피클,S건포도감자볼,S수제블루베리우유,밤콩밥(30),만두국,닭가슴살데리야끼조림,도라지무침,비트초절이,3
백미밥(30),느타리버섯국,새우살스크램블에그,고구마순된장무침,오이소박이김치,empty,S수제블루베리우유,소고기굴소스볶음밥,팽이장국,고구마샐러드,우엉채곤약조림,오이 피클,empty,S토마토주스,밤콩밥,만두국,닭가슴살데리야끼조림,도라지무침,비트초절이,5
백미밥,쇠고기탕국,새우살스크램블에그,고구마순된장무침,오이소박이김치,empty,S토마토주스,소고기굴소스볶음밥,애호박맑은국,야채튀김,견과류고구마범벅,오이 피클,empty,S수제블루베리우유,밤콩밥,만두국,닭가슴살데리야끼조림,도라지나물,나박 김치,5
백미밥,만둣국,두부채소굴소스볶음,애호박볶음,나박 김치,S수제바나나우유,S참깨우유스프,율무밥(30),애호박두부된장국,매콤콩나물무침,연근흑임자샐러드,깍두기,S연두부샐러드(오리엔탈드레싱),S쌀음료,쌀밥,표고버섯탕,가지나물무침,더덕사과무침,총각 김치,1
율무밥(30),만둣국,가지나물무침,연근흑임자샐러드,나박 김치,S참깨우유스프,S쌀음료,백미밥,표고버섯탕,더덕사과무침,애호박볶음,깍두기,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,쌀밥,애호박두부된장국,두부채소굴소스볶음,매콤콩나물무침,총각 김치,3
율무밥(40),매생이국,두부데리야끼구이,도토리묵상추무침,나박 김치,S참깨우유스프,S레몬주스,백미밥,표고버섯탕,닭살카레조림,더덕사과무침,깍두기,오이스틱,S수제바나나우유,쌀밥,애호박두부된장국,훈제오리냉채,매콤콩나물무침,총각 김치,5
율무밥,만둣국,참치채소볶음,연근흑임자샐러드,나박 김치,S치즈,S레몬주스,백미밥,표고버섯탕,돼지고기연근조림,애호박볶음,깍두기,오이스틱,S수제바나나우유,쌀밥,애호박두부된장국,두부채소굴소스볶음,매콤콩나물무침,총각 김치,5
파프리카유부초밥,두부대합탕국,가지구이,무말랭이,동치미,S우유(100ml),S건포도감자볼,율무밥,김치두부국,돈육김치볶음,매콤주꾸미볶음,열무 물김치,S오징어채소죽,S단호박식혜,밤콩밥(40),만두닭개장,팽이버섯나물,empty,단무지,1
밤콩밥(40),두부대합탕국,돈육김치볶음,무말랭이,동치미,S오징어채소죽,S우유(100ml),파프리카유부초밥,김치두부국,가지구이,empty,단무지,S건포도감자볼,S단호박식혜,율무밥,만두닭개장,매콤주꾸미볶음,팽이버섯나물,열무 물김치,4
밤콩밥(40),두부대합탕국,돈육김치볶음,미역나물,동치미,S배,S우유(200ml),파프리카유부초밥,실파장국,시금치프리타타,empty,단무지,empty,S단호박식혜,율무밥,만두닭개장,매콤주꾸미볶음,팽이버섯나물,열무 물김치,5
밤콩밥,두부대합탕국,돈육김치볶음,미역나물,동치미,S배,S우유(100ml),파프리카유부초밥,실파장국,치킨텐더샐러드(머스타드드레싱),empty,단무지,empty,S단호박식혜,율무밥,만두닭개장,매콤주꾸미볶음,팽이버섯나물,열무 물김치,5
치즈채소볶음밥,순두부백탕,감자버터구이,다시마튀각,깍두기,S우유미숫가루,S쌀음료,흑미밥(40),감자국,주꾸미볶음,취나물된장무침,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S당근스프,흰콩밥,달래된장국,애호박볶음,돈육케찹조림,총각 김치,1
흑미밥(40),감자국,돈육케찹조림,애호박볶음,총각 김치,S당근스프,S우유미숫가루,흰콩밥,달래된장국,주꾸미볶음,다시마튀각,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S쌀음료,치즈채소볶음밥,순두부백탕,감자버터구이,취나물된장무침,깍두기,5
흑미밥(40),감자국,돈육케찹조림,애호박볶음,총각 김치,S당근스프,S우유미숫가루,흰콩밥,달래된장국,주꾸미볶음,다시마튀각,오이소박이김치,empty,S쌀음료,치즈채소볶음밥,순두부백탕,감자버터구이,취나물된장무침,깍두기,5
흑미밥,감자국,돈육케찹조림,애호박볶음,총각 김치,S오렌지,S우유미숫가루,흰콩밥,달래된장국,주꾸미볶음,다시마튀각,오이소박이김치,empty,S쌀음료,치즈채소볶음밥,순두부백탕,감자버터구이,취나물된장무침,깍두기,5
밤찹쌀팥밥(30),콩나물국,알감자조림,얼갈이무침,열무 물김치,S단호박식혜,S바나나쉐이크,흑미밥(추가),두부감잣국,쇠고기토마토조림,청경채초무침,갓 김치,S귤(50g),S달걀죽,쇠고기카레라이스,모듬버섯국,새우살크림소스볶음,닭가슴살샐러드(머스타드소스),석박지,1
밤찹쌀팥밥(30),두부감잣국,알감자조림,닭가슴살샐러드(머스타드소스),갓 김치,S달걀죽,S단호박식혜,흑미밥(추가),모듬버섯국,쇠고기토마토조림,청경채초무침,열무 물김치,S귤(50g),S바나나쉐이크,쇠고기카레라이스,콩나물국,새우살크림소스볶음,얼갈이무침,석박지,3
밤찹쌀팥밥(40),두부감잣국,알감자조림,닭가슴살샐러드(머스타드소스),단배추물김치,S거봉,S단호박식혜,흑미밥,모듬버섯국,쇠고기토마토조림,청경채초무침,열무 물김치,S귤(50g),S바나나쉐이크,쇠고기카레라이스,콩나물국,새우살크림소스볶음,얼갈이무침,석박지,5
밤찹쌀팥밥,두부감잣국,알감자조림,닭가슴살샐러드(머스타드소스),단배추물김치,S거봉,S단호박식혜,흑미밥,모듬버섯국,쇠고기토마토조림,청경채초무침,열무 물김치,S귤(50g),S바나나쉐이크,쇠고기카레라이스,콩나물국,새우살크림소스볶음,얼갈이무침,석박지,5
고구마밥(30),느타리버섯국,채소크로켓,건새우애호박볶음,깍두기,S수제바나나우유,S쌀음료,검정콩밥,만두국,애호박건새우볶음,고구마순된장무침,나박 김치,S연두부샐러드(오리엔탈드레싱),empty,쇠고기가지덮밥,조랭이미역국,느타리버섯나물,empty,총각 김치,1
고구마밥(30),조랭이미역국,건새우애호박볶음,고구마순된장무침,깍두기,empty,S수제바나나우유,쇠고기가지덮밥,느타리버섯국,채소크로켓,애호박건새우볶음,나박 김치,S연두부샐러드(오리엔탈드레싱),S쌀음료,검정콩밥,만두국,empty,느타리버섯나물,총각 김치,2
