Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S흑임자죽,,수수밥,북엇국,닭가슴살데리야끼조림,취나물무침,배추김치,S핫도그,S우유(100ml),기장밥,시금치된장국,돼지고기양배추볶음,콩나물무침,배추김치
S바나나,,백미밥,옥수수스프,생선까스+타르타르소스,돌나물유자청무침,깍두기,S찐감자,S우유(100ml),검정콩밥,배추맑은국,닭가슴살피망볶음,애호박전,깍두기
S딸기,S우유(200ml),차조밥,버섯된장국,돼지고기숙주볶음,방풍나물,배추김치,S시루떡,S보리차,흑미밥,콩가루쑥국,고등어구이,돌나물초무침,깍두기
S토마토,S우유(200ml),찹쌀밥,안매운육개장,연두부+양념장,맛살채소볶음,배추김치,S연근전,S보리차,백미밥,숙주맑은국,돼지고기단호박조림,오이나물,배추김치
S우유(200ml),,유부초밥,미니우동,치킨텐더샐러드(머스타드드레싱),,배추김치,S식빵토스트,S보리차,,,,,
S사과,S우유(200ml),백미밥,쇠고기미역국,삼치무조림,깻잎나물,배추김치,S잔치국수,,차조밥,수제비국,맛살채소전,쑥갓들깨무침,깍두기
S무청죽,,기장밥,아욱된장국,달걀찜,견과류멸치볶음,배추김치,S롤빵,S우유(100ml),흑미밥,열무된장국,삼치양념찜,치커리사과무침,배추김치
S씨리얼,S우유(200ml),돈육카레라이스,유부장국,오이무침,,배추김치,S과일샐러드,,완두콩밥,매생이두부국,닭봉조림,아욱무침,배추김치
S오렌지,S우유(200ml),수수밥,뭇국,쇠고기당면볶음,쇠고기당면볶음,배추김치,S꿀떡,S보리차,기장밥,콩비지찌개,돼지고기오이볶음,세발나물초무침,깍두기
S배,S우유(200ml),흑미밥,닭곰탕,두부간장조림,브로콜리된장무침,배추김치,S새우튀김,S보리차,찹쌀현미밥,근대된장국,쇠고기청경채볶음,무나물,배추김치
S우유(200ml),,해물볶음밥,미소장국,도토리묵무침,,배추김치,S가래떡구이,S보리차,,,,,
