name,Weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (Beta-Carotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid,EPA,DHA
S꼬마김밥,56.8,간식_모두,127.955,2.6162,3.1769,21.9613,0.457,15.475,0.9238,174.811,0,98.16,0.09211,0.0919,8.9864,1.3484598,0.0779708,0,0
S달걀채소볶음밥,59.8,간식_모두,127.796,3.77365,2.42458,21.61873,0.1365,12.217,0.7853,70.498,20.4,3.167,0.07607,0.10559,18.1518,0.75862215,0.07232664,0,10.608
S쇠고기파프리카볶음밥,58.8,간식_모두,137.436,4.15635,3.55218,21.20143,0.1525,5.197,0.7624,57.508,1.44,3.602833333,0.06619,0.06622,20.8009,0.62841845,0.07080894,0,0
S쇠고기볶음밥,57.8,간식_모두,138.486,4.14955,3.54428,21.46733,0.3495,6.457,0.6628,58.478,1.44,23.11616667,0.06562,0.05778,1.2399,0.63014145,0.06895514,0,0
S달걀볶음밥,60.8,간식_모두,129.246,3.78595,2.41898,21.97883,0.3495,13.657,0.7024,71.528,20.4,23.11616667,0.07624,0.09873,1.1283,0.76086615,0.07076594,0,10.608
S떡국,34.9,간식_모두,71.482,2.36965,0.2287,14.97355,0.2265,45.701,0.3314,223.087,0,0.024333333,0.0056,0.0085,0.2793,0.03782455,0.0017878,6.0204,20.804
S핫케이크,74,간식_모두,230.675,5.345,4.9904,39.04515,0,71.85,0.3425,382.725,18.45,0,0.064,0.209475,0.1185,0.85405575,0.1013202,0.126,5.304
S(저당)씨리얼,40,간식_모두,157.6,2.72,1.116,34.132,1.32,4.4,3.588,220.4,403.2,0,0.6464,1.3616,62.108,0.390232,0.016224,0,0
S감자샐러드,76.5,간식_모두,90.715,1.8186,4.5574,11.06735,2.1075,12.67,0.4924,23.29,1,0.042083333,0.043435,0.04459,7.357,0.20000205,0.00165085,0,0
S감자건포도샐러드,80,간식_모두,96.85,1.599,3.8345,14.7105,2.115,10.75,0.493,24.55,1,0.0375,0.0468,0.0769,7.3685,0.0094295,0.001968,0,0
S감자채요거트샐러드,78,간식_모두,64.15,2.0114,0.5497,13.4293,1.975,27.33,0.4239,7.93,7.67,0.016666667,0.04253,0.09055,6.4891,0.0187025,0.0034441,0,0
S개피떡,80,간식_모두,165.6,3.44,0.64,36.48,0,13.6,0.96,124,0,0,0.04,0.032,0,0,0,0,0
S개피떡(40g),40,간식_모두,82.8,1.72,0.32,18.24,0,6.8,0.48,62,0,0,0.02,0.016,0,0,0,0,0
S파인애플,50,간식_모두,26.5,0.23,0.02,7.16,1.25,8,0.045,0,0,2.583333333,0.026,0.0435,22.715,0.00369,0.003715,0,0
S거봉,100,간식_모두,61,0.43,0.04,16.38,0.4,4,0.17,1,0,2.166666667,0.026,0.047,0.13,0.01189,0.00609,0,0
S건포도감자볼,35,간식_모두,34.95,0.735,0.0385,8.4685,1.035,6.3,0.246,1.65,0,0.016666667,0.0218,0.0636,3.1645,0.0059615,0.001232,0,0
S검은깨두유(100ml),100,간식_모두,77,3.4,3.15,8.76,1.4,119,0.52,65,0,0,0.023,0.018,0.34,1.51952,0.15269,0,0
S검은깨두유(150ml),150,간식_모두,115.5,5.1,4.725,13.14,2.1,178.5,0.78,97.5,0,0,0.0345,0.027,0.51,2.27928,0.229035,0,0
S검은깨두유(200ml),200,간식_모두,154,6.8,6.3,17.52,2.8,238,1.04,130,0,0,0.046,0.036,0.68,3.03904,0.30538,0,0
S검은콩우유(100ml),100,간식_모두,86,3.21,3.77,9.87,0.9,23,0.42,77,0,0,0.061,0.019,0.15,1.50895,0.17752,0,0
S검은콩우유(150ml),150,간식_모두,129,4.815,5.655,14.805,1.35,34.5,0.63,115.5,0,0,0.0915,0.0285,0.225,2.263425,0.26628,0,0
S검은콩우유(200ml),200,간식_모두,172,6.42,7.54,19.74,1.8,46,0.84,154,0,0,0.122,0.038,0.3,3.0179,0.35504,0,0
S아몬드,2,간식_모두,11.36,0.5148,0.9322,0.4364,0.192,8.18,0.0748,10.98,0,0.018333333,0.00026,0.02878,0,0.217333,0.0012142,0,0
